gene,source
NOS1,hpg_zhao
TH,hpg_zhao
EFNB2,hpg_zhao
GRK5,hpg_zhao
ESR1,hpg_zhao
HTR1A,hpg_zhao
SLC6A4,hpg_zhao
EDN1,hpg_zhao
CHRM2,hpg_zhao
CACNG2,hpg_zhao
KCNK2,hpg_zhao
SCN11A,hpg_zhao
TNFRSF1B,hpg_zhao
IL1R1,hpg_zhao
CHRNA5,hpg_zhao
CACNA2D1,hpg_zhao
KCNA1,hpg_zhao
ADRA2A,hpg_zhao
NTRK1,hpg_zhao
NGFR,hpg_zhao
PDYN,hpg_zhao
PTGS2,hpg_zhao
P2RX7,hpg_zhao
MMP9,hpg_zhao
STX1A,hpg_zhao
PTGS1,hpg_zhao
CCR2,hpg_zhao
TRPV1,hpg_zhao
NTSR1,hpg_zhao
BDNF,hpg_zhao
KCNJ6,hpg_zhao
TAC1,hpg_zhao
