Gene	Endotype	is_seed
RABGGTA	7	1
RABGGTB	7	0
RAC1	7	0
RAPH1	7	1
RBSN	7	0
RGR	7	0
RHOU	7	0
RIMS1	7	0
RP2	7	0
RUFY3	7	0
SAAL1	7	0
SCNN1A	7	1
SCNN1B	7	0
SCNN1G	7	0
SCRT1	7	0
SEC22C	7	0
SGSM3	7	0
SH3GL1	7	0
SH3GL3	7	0
SHMT2	7	0
SLC12A5	7	1
SLC17A7	7	1
SLC17A8	7	1
SLC32A1	7	1
SLC39A13	7	0
SLC6A1	7	1
SLC9A3R2	7	0
SNAP25	7	1
SNAP47	7	1
SNX5	7	0
SPOCK2	7	1
SPTAN1	7	0
SRGAP3	7	0
ST8SIA2	7	0
STX1A	7	1
STX5	7	0
STXBP1	7	0
SYN2	7	1
SYT1	7	0
TES	7	0
TGOLN2	7	0
THADA	7	0
TLN2	7	1
TMEM17	7	0
TMEM216	7	0
TNPO2	7	0
TNPO3	7	0
TRPM2	7	1
TYRP1	7	1
USP8	7	1
VAMP8	7	0
VIM	7	0
VSNL1	7	0
XPO4	7	0
XPO7	7	0
ZNF799	7	0
ADAMTS4	8	1
ASTN2	8	1
CD81	8	0
ESRRB	8	1
GAN	8	0
GRID1	8	0
GRID2	8	0
GRM7	8	1
HAX1	8	0
ICAM1	8	1
IL12B	8	1
IL12RB1	8	0
IL23A	8	0
KCND3	8	1
LGALS3BP	8	0
LRP1	8	1
LTA	8	1
LTB	8	0
NPY4R	8	0
P2RX3	8	1
PRKACB	8	0
RAD51C	8	0
SNCA	8	0
SRPX2	8	0
STARD13	8	1
THBS3	8	0
THBS4	8	1
TJP1	8	0
TMEM25	8	0
TRIM58	8	0
TRMT44	8	0
TUBA1A	8	0
TUBA4A	8	0
TUBB	8	0
TUBB1	8	0
TUBB3	8	0
TUBB8	8	0
ADARB2	9	1
BBIP1	9	0
BBS4	9	1
BBS5	9	0
CEP120	9	1
CLDN3	9	0
CMIP	9	0
COPB1	9	0
CSNK1E	9	0
CTDNEP1	9	0
DCTN1	9	0
DISC1	9	1
DTNBP1	9	1
DYNC1I1	9	1
DYNLL1	9	0
FAM189A2	9	0
FOXL1	9	0
GSTM1	9	0
GUCY2D	9	0
HOOK2	9	0
IL22RA2	9	0
INA	9	0
KCNK3	9	1
KCNK9	9	1
KCTD2	9	0
KLF11	9	1
KPNB1	9	0
LYST	9	1
MIGA1	9	0
MLLT10	9	1
NDEL1	9	0
NLN	9	0
NUP98	9	0
PHACTR3	9	0
POC5	9	1
PPP1CC	9	0
PTPN13	9	0
RPIA	9	0
SCLT1	9	0
SCN10A	9	1
SFN	9	0
SOX6	9	1
SPATA46	9	0
SYBU	9	0
SYNE1	9	1
TOMM20	9	0
UXS1	9	0
WDCP	9	0
XPO1	9	0
YWHAB	9	0
YWHAE	9	0
YWHAG	9	0
YWHAH	9	0
YWHAQ	9	0
YWHAZ	9	0
ZWILCH	9	0
ABAT	10	1
ABCA7	10	0
ABCC2	10	1
ABCC3	10	1
ABHD14A	10	0
ACE2	10	1
ACO1	10	1
ACOT6	10	0
ACTA2	10	0
ACTBL2	10	0
ACVR2A	10	0
ACVR2B	10	0
ACVRL1	10	0
ACY3	10	0
ADAMTSL1	10	1
ADAMTSL4	10	0
ADAT2	10	0
ADGRG5	10	0
ADK	10	0
AGTRAP	10	0
AIFM1	10	0
AKR1B1	10	0
ALDH1A2	10	1
ALDH2	10	0
ALG6	10	0
ALG9	10	0
ALOX5	10	1
AMIGO1	10	0
AMIGO2	10	0
AMIGO3	10	1
ANAPC4	10	1
ANK2	10	0
ANKRD13C	10	0
ANO1	10	1
ANO8	10	0
APEX2	10	0
APLP1	10	0
APOE	10	1
APOL2	10	0
AQP1	10	1
AQP2	10	1
AR	10	0
ARL10	10	0
ARL14	10	0
ARL14EP	10	1
ARMH1	10	0
ARVCF	10	1
ASGR1	10	0
ATF6	10	0
ATF7IP	10	0
ATG9A	10	0
ATL2	10	0
ATM	10	0
ATN1	10	0
ATP11C	10	0
ATP1A3	10	0
ATP2B3	10	0
ATP2C1	10	1
ATP2C2	10	1
ATP5F1A	10	0
ATP5PB	10	0
ATP6V0A1	10	0
ATP6V0D1	10	0
B4GALT5	10	0
BACE1	10	1
BAG3	10	0
BAG6	10	0
BAHCC1	10	1
BAMBI	10	1
BBS1	10	1
BBX	10	1
BCCIP	10	0
BHMT	10	0
BMF	10	0
BMP2	10	0
BMP4	10	0
BMP5	10	1
BMP6	10	1
BMP7	10	0
BMPER	10	0
BMPR2	10	0
BMT2	10	0
BRAT1	10	0
BRCA1	10	0
BRI3	10	0
BRWD1	10	1
BSCL2	10	0
BTNL8	10	0
BUD23	10	1
BUD31	10	0
C12orf60	10	1
C1GALT1C1	10	0
C1QBP	10	0
C1orf43	10	0
C4orf3	10	0
C7orf50	10	1
C8orf34	10	1
C8orf76	10	0
CACNA1G	10	1
CACNA2D1	10	1
