fromnodeid	tonodeid
DDX41	FYN
DDX41	HNRNPK
DDX41	HNRNPA2B1
DDX41	HNRNPA1
DDX41	HNRNPM
DDX41	SYNCRIP
DDX41	SNRPD3
DDX41	HNRNPR
DDX41	RNPS1
DDX41	SNRPB2
DDX41	THOC6
DDX41	SNRNP27
DDX41	PAXBP1
DDX41	FRG1
DDX41	ACIN1
DDX41	CDC40
DDX41	RBM17
DDX41	U2SURP
DDX41	SF3B2
DDX41	CWC15
DDX41	ISY1
DDX41	BUD31
DDX41	SART1
DDX41	SLU7
DDX41	DDX46
DDX41	TRIR
DDX41	NUDT21
DDX41	RBM22
DDX41	THOC5
DDX41	DHX8
DDX41	RALY
DDX41	SF3B4
DDX41	SMNDC1
DDX41	PPIL2
DDX41	SRSF6
DDX41	LSM4
DDX41	SNRPC
DDX41	CD2BP2
ISY1	LMO2
ISY1	HNRNPA3
ISY1	HNRNPC
ISY1	ZNF207
ISY1	HNRNPA1
ISY1	HNRNPF
ISY1	RBM22
ISY1	U2SURP
ISY1	HNRNPK
ISY1	RNPS1
ISY1	CD2BP2
ISY1	SYNCRIP
ISY1	TRIR
ISY1	HNRNPU
ISY1	HNRNPR
ISY1	SNRPD3
ISY1	THOC6
ISY1	PAXBP1
ISY1	SART1
ISY1	BUD31
ISY1	SNRNP27
ISY1	SF3B2
ISY1	NUDT21
ISY1	CDC40
ISY1	PPIL2
ISY1	HNRNPM
ISY1	SLU7
ISY1	HNRNPA2B1
ISY1	DHX8
ISY1	SNRPB2
ISY1	FRG1
ISY1	ACIN1
ISY1	RBM17
ISY1	CWC15
ISY1	DDX46
ISY1	THOC5
ISY1	SNRPC
ISY1	RALY
ISY1	SRSF6
ISY1	SMNDC1
ISY1	LSM4
ISY1	SF3B4
BUD31	ZNF207
BUD31	RBM22
BUD31	U2SURP
BUD31	RNPS1
BUD31	CD2BP2
BUD31	PICK1
BUD31	TRIR
BUD31	THOC6
BUD31	GNAI3
BUD31	PAXBP1
BUD31	SART1
BUD31	SNRPB2
BUD31	SNRNP27
BUD31	ACIN1
BUD31	CDC40
BUD31	RBM17
BUD31	SF3B2
BUD31	CWC15
BUD31	SRSF6
BUD31	ARHGEF11
BUD31	LSM4
BUD31	PPIL2
BUD31	SMNDC1
BUD31	DDX46
BUD31	THOC5
BUD31	NUDT21
BUD31	SF3B4
BUD31	DHX8
BUD31	SLU7
BUD31	SNRPC
RBM22	HNRNPA3
RBM22	HNRNPC
RBM22	ZNF207
RBM22	HNRNPA1
RBM22	HNRNPF
RBM22	HNRNPU
RBM22	HNRNPK
RBM22	HNRNPA2B1
RBM22	HNRNPM
RBM22	SYNCRIP
RBM22	SNRPD3
RBM22	HNRNPR
RBM22	SNRPB2
RBM22	THOC6
RBM22	SNRNP27
RBM22	PAXBP1
RBM22	FRG1
RBM22	ACIN1
RBM22	CDC40
RBM22	RBM17
RBM22	U2SURP
RBM22	SF3B2
RBM22	CWC15
RBM22	SART1
RBM22	SLU7
RBM22	DDX46
RBM22	TRIR
RBM22	NUDT21
RBM22	SRSF6
RBM22	RALY
RBM22	DHX8
RBM22	LSM4
RBM22	CD2BP2
RBM22	SNRPC
RBM22	SMNDC1
RBM22	PRNP
RBM22	RNPS1
RBM22	PPIL2
RBM22	THOC5
RBM22	SF3B4
RBM22	HOMER3
RBM22	GIGYF1
DHX8	HNRNPA3
DHX8	HNRNPC
DHX8	ZNF207
DHX8	HNRNPA1
DHX8	HNRNPF
DHX8	U2SURP
DHX8	HNRNPK
DHX8	RNPS1
DHX8	CD2BP2
DHX8	SYNCRIP
DHX8	TRIR
DHX8	HNRNPU
DHX8	HNRNPR
DHX8	SNRPD3
DHX8	THOC6
DHX8	PAXBP1
DHX8	SART1
DHX8	SRPK2
DHX8	SNRNP27
DHX8	SF3B2
DHX8	NUDT21
DHX8	CDC40
DHX8	PPIL2
DHX8	HNRNPM
DHX8	SLU7
DHX8	THOC5
DHX8	DDX46
DHX8	SMNDC1
DHX8	CWC15
DHX8	ACIN1
DHX8	SF3B4
DHX8	SNRPC
DHX8	RALY
DHX8	SRSF6
DHX8	HNRNPA2B1
DHX8	RBMX2
DHX8	SNRPB2
DHX8	FRG1
DHX8	RBM17
DHX8	LSM4
SART1	HNRNPA3
SART1	HNRNPC
SART1	ZNF207
SART1	HNRNPA1
SART1	HNRNPF
SART1	U2SURP
SART1	HNRNPK
SART1	RNPS1
SART1	CD2BP2
SART1	SYNCRIP
SART1	TRIR
SART1	HNRNPU
SART1	HNRNPR
SART1	SNRPD3
SART1	SUMO1
SART1	THOC6
SART1	PAXBP1
SART1	HNRNPA2B1
SART1	HNRNPM
SART1	RAE1
SART1	SUMO3
SART1	RALY
SART1	UBL5
SART1	SNRPB2
SART1	SNRNP27
SART1	FRG1
SART1	ACIN1
SART1	CDC40
SART1	RBM17
SART1	SF3B2
SART1	CWC15
SART1	SF3B4
SART1	SNRPC
SART1	PPIL2
SART1	THOC5
SART1	DDX46
SART1	NUDT21
SART1	SMNDC1
SART1	SRSF6
SART1	LSM4
SART1	SLU7
NUDT21	ZNF207
NUDT21	MYL6
